Date,Date,Close,Volume,AUDUSD,USDCAD,Returns,Returns_100,upper_barrier,lower_barrier,touch_upper,touch_lower,label
2010-01-04 09:39:00,2010-01-04 09:39:00,1.44275,197.0,0.90884,1.03958,,,,,,,0.0
2010-01-05 04:10:00,2010-01-05 04:10:00,1.44265,95.0,0.91369,1.03747,-6.931207762950198e-05,-0.006931207762950198,,,,,0.0
2010-01-05 18:50:00,2010-01-05 18:50:00,1.43675,95.0,0.91156,1.03918,-0.0040896960454719355,-0.40896960454719355,,,,,0.0
2010-01-06 09:55:00,2010-01-06 09:55:00,1.4352,192.0,0.91589,1.03489,-0.0010788237341221585,-0.10788237341221585,,,,,0.0
2010-01-07 03:45:00,2010-01-07 03:45:00,1.43584,138.0,0.91865,1.03147,0.0004459308807134299,0.04459308807134299,,,,,0.0
2010-01-07 19:42:00,2010-01-07 19:42:00,1.43054,100.0,0.91714,1.03436,-0.0036912190773346065,-0.36912190773346065,,,,,0.0
2010-01-08 10:16:00,2010-01-08 10:16:00,1.43144,207.0,0.91769,1.03642,0.0006291330546508433,0.06291330546508433,,,,,0.0
2010-01-11 05:43:00,2010-01-11 05:43:00,1.45165,66.0,0.93139,1.02772,0.014118649751299506,1.4118649751299506,,,,,0.0
2010-01-12 01:26:00,2010-01-12 01:26:00,1.44999,22.0,0.92904,1.03313,-0.001143526332105016,-0.1143526332105016,,,,,0.0
2010-01-12 11:02:00,2010-01-12 11:02:00,1.45324,125.0,0.92512,1.03642,0.0022413947682398128,0.22413947682398128,,,,,0.0
2010-01-13 06:26:00,2010-01-13 06:26:00,1.45327,220.0,0.92419,1.03542,2.064352756603327e-05,0.002064352756603327,,,,,0.0
2010-01-13 17:59:00,2010-01-13 17:59:00,1.44992,26.0,0.92304,1.03048,-0.00230514632518386,-0.230514632518386,,,,,0.0
2010-01-14 09:59:00,2010-01-14 09:59:00,1.44721,201.0,0.92979,1.0287,-0.0018690686382697441,-0.1869068638269744,,,,,0.0
